SongNumber,SongID,Title,ArtistName,Duration,Year,AlbumID,AlbumName,ArtistID,ArtistLongitude,ArtistLatitude,ArtistLocation,KeySignature,Tempo,TimeSignature,Loudness,Mode,Segments_nb,Sections_nb,Beats_nb,Bars_nb,Tatums_nb,Artist_Familiarity,Artist_Terms,Danceability,Song_Hotness,Artist_Hotness
20,"b'SOUMYPM12A8C138F7E'","b'Bitches For Breakfast'","b'Vodka Collins'",119.30077,0,98008,"b"Boy's Life"","b'ARLI9NJ1187B9911FB'",139.74092,35.67048,"b'Tokyo Japan'",2,151.357,4,-8.977,1,377,6,295,73,590,0.4117890700534452,11,0.0,0.0,0.4064096562655635
21,"b'SORUUEV12A58A7B9FA'","b'The Law Gonna Step On You (1931)'","b'Bo Carter'",162.24608,0,597365,"b'Twist It Babe (1931-1940)'","b'ARFXRHR1187B98FF09'",-90.45987,32.34973,"b'Bolton MS'",3,116.083,3,-15.925,1,679,9,305,100,611,0.469671583464309,29,0.0,0.2524458186155055,0.35747040306544636
22,"b'SOHNJQL12AB018CC5C'","b'Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams)'","b'Nicky B_ Na\xc3\xablle'",251.55873,0,575394,"b'Rude Bwoy Love (Single)'","b'ARPGCHN1187B9A2831'",,,"b''",7,173.974,4,-5.794,1,1193,11,712,177,1423,0.5954092398478043,33,0.0,nan,0.4126997646481193
23,"b'SOEZDOH12A8AE4787A'","b'Des V\xc3\xb4tres'","b'Fredericks_ Goldman_ Jones'",344.21506,0,289997,"b'Rouge'","b'ARQDTOS12086C11443'",,,"b''",5,153.939,4,-9.985,1,1109,11,878,219,1756,0.38272001702382835,4,0.0,nan,0.30510121707452625
24,"b'SOOOWIC12A6701C7E5'","b'Crazy'","b'Aerosmith'",318.61506,1993,14312,"b'Young Lust: The Aerosmith Anthology'","b'AR12F2S1187FB56EEF'",,,"b'Boston MA'",6,232.709,3,-4.43,0,843,13,1238,411,1238,0.8725365986697359,43,0.0,nan,0.6107314629039089
25,"b'SOFKQMW12A8C1326B5'","b'Down South Blues'","b'Sleepy John Estes'",188.26404,1935,599412,"b"I Ain't Gonna Be Worried No More 1929-1941"","b'ARE2QID1187B98FA19'",-89.53176,35.74595,"b'Ripley TN'",11,78.498,1,-18.335,1,553,9,247,247,494,0.5190000723734253,35,0.0,nan,0.35303574014515915
26,"b'SOIGKLE12AB017B7F3'","b'Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson)'","b'Steve Morse'",342.09914,0,620380,"b'Prime Cuts_ Volume 2'","b'ARWB3G61187FB49404'",,,"b'Hamilton Ohio'",8,154.113,4,-5.097,0,1005,11,876,218,1752,0.5899030222694012,35,0.0,0.26586104921065007,0.4206925878660276
27,"b'SOZPDYY12A6D4FE551'","b'All For The Sake Of The Song'","b'Roger Creager'",277.55057,2003,229049,"b'Long Way To Mexico'","b'AREN1A11187FB527EF'",,,"b''",0,80.975,4,-9.776,1,843,12,359,89,718,0.6745194565725025,17,0.0,0.338886720010706,0.4415590825137195
28,"b'SOBEHXG12A8C138D22'","b'Rumour (Abstract Hip Hop Mix)'","b'bel canto'",78.49751,1996,203228,"b'Magic Box'","b'AR7IYVY1187B9A2648'",18.95574,69.65102,"b'Tromso Norway'",7,106.936,4,-17.795,1,226,5,134,32,269,0.5723384267593626,49,0.0,0.34580223396532944,0.36825203871606266
29,"b'SOBBYXE12A58A772B2'","b"He Don't Care (He's Stoned)"","b'Dan Hicks'",159.9473,0,663635,"b'20 Hot Licks Hits'","b'ARA6QLT1187FB4CB89'",-92.27449,34.74865,"b'Little Rock AK'",0,72.357,1,-32.535,1,415,4,190,190,379,0.5941381543935025,41,0.0,0.0,0.38335705051828306
30,"b'SOLBVSR12AB0183E1A'","b'18 De Noviembre'","b'Maracaibo 15'",171.98975,0,462098,"b'Gaitas Platinum'","b'ARJTAZU1187B990051'",,,"b''",2,181.002,1,-8.002,1,867,8,503,503,1005,0.4339539951668355,10,0.0,0.2998774882739778,0.31470046977659827
31,"b'SOCRVCC12A6D4FB91B'","b'The Urban Gospel'","b'Shade Sheist / N.U.N.E. / King Arthur'",262.3473,0,56789,"b'Informal Introduction'","b'AR7AA2D1187B98B415'",,,"b'Los Angeles CA'",11,89.912,4,-7.673,0,1006,9,393,96,786,0.5532839112888692,15,0.0,0.0,0.34613566732493495
32,"b'SOCISDR12A58A7EBF3'","b'The Second One'","b'Remy Shand'",250.77506,2002,345794,"b'The Way I Feel'","b'ARKVD621187B9B95FC'",,,"b''",10,177.963,4,-6.188,0,1098,13,732,182,1464,0.5378494471156304,46,0.0,nan,0.3641912442304998
33,"b'SOUUQXL12A8C1339FE'","b'One More Time (Kennedy Center Homecoming Version)'","b'The Katinas'",159.26812,0,143821,"b'Kennedy Center Homecoming'","b'AR1IY711187B9B0B50'",,,"b''",0,80.945,7,-10.599,0,451,7,213,29,426,0.6069013824965412,22,0.0,0.0,0.43893284954222317
34,"b'SOOTBSZ12A8C140223'","b'Rich Girl'","b'Daryl Hall & John Oates'",216.34567,1976,305508,"b'Livetime'","b'ARN0DMU1187FB5B63A'",,,"b'Philadelphia Pennsylvania'",10,178.825,4,-5.745,1,723,6,633,158,1266,0.6649243624441277,30,0.0,nan,0.49638114568159253
35,"b'SOVBLUQ12A81C20920'","b'Laakista humppa'","b'Elakelaiset'",67.3171,1995,179978,"b'Humppakonsertto'","b'ARWRS4D1187FB3FCD4'",,,"b''",9,116.338,1,-2.421,0,228,4,130,130,261,0.508440336157874,47,0.0,nan,0.4051434468698962
36,"b'SOAPTWU12A8C1409CB'","b'See What Tomorrow Brings'","b'Arc Angels'",386.79465,1992,309890,"b'Arc Angels'","b'ARWV0Q11187FB4CDCE'",,,"b'Austin TX'",8,125.787,3,-10.118,1,905,16,780,257,1561,0.5889320858529523,13,0.0,0.4733465411087876,0.34936636110900054
37,"b'SOGDAUG12A6701F302'","b'Coral Fang (Album Version)'","b'The Distillers'",129.59302,2003,7851,"b'Coral Fang'","b'ARN2ZKL1187FB3972B'",-95.84502,37.16793,"b'L.A \tCalifornia Estados Unidos '",9,95.075,7,-3.698,0,357,7,192,27,385,0.6810906917425594,16,0.0,0.3603705827121406,0.48853612540190205
38,"b'SOELHNO12A8C13F09F'","b'Ela Edo Kardia Mou'","b'Irini Merkouri'",228.33587,0,307189,"b'Aneta'","b'ARKEZNY1187B9B7F6C'",,,"b''",3,155.979,4,-6.252,0,839,10,573,142,1146,0.3963040673712416,4,0.0,nan,0.0
39,"b'SOULTFJ12AB018BE7B'","b'Yo Soy Abacua'","b'Bobby Valentin'",177.50159,1970,725685,"b'Algo Nuevo'","b'AR8OA0X1187FB4FE50'",,,"b''",0,126.202,4,-9.054,1,717,13,367,91,1102,0.40550299281106406,33,0.0,nan,0.0
40,"b'SOZFZDT12A6D4F7646'","b'Let The Drummer Have Some'","b'fIREHOSE'",61.83138,1989,86066,"b'Fromohio'","b'AR9A5TK1187B9AD07F'",,,"b''",5,76.354,4,-21.439,1,237,2,73,18,218,0.552704814467477,34,0.0,0.5375039041917102,0.3870083217942033
41,"b'SOTHXZR12A6D4FAA86'","b'Advice'","b'Ann Nesby / Jamecia Bennett'",340.79302,0,53684,"b'Put It On Paper'","b'ARX2R5A1187FB5B85B'",-84.39111,33.74831,"b'Joliet IL &amp; Atlanta GA'",6,110.058,1,-2.871,1,1000,16,622,622,1244,0.447913957610236,23,0.0,0.0,0.4225755234173201
42,"b'SOOKYPR12AB018AD0C'","b'The Darkness (Komor Kommando Mix)'","b'Zombie Girl'",256.73098,2009,818242,"b'Endzeit Bunkertracks - Act IV: The Alfa Matrix Selection'","b'ARY02GH1187B99B223'",,,"b'Edmonton Alberta Canada'",11,120.103,4,-7.479,0,833,8,514,128,1542,0.6391653180567353,45,0.0,0.42512465831305757,0.443395584873968
43,"b'SOAGRFG12AC468768A'","b'Les D\xc3\xa9penaill\xc3\xa9s'","b'Klimperei'",110.10567,0,607335,"b'Patamob'","b'ARC4O5Z1187B9AE91F'",1.71819,46.71067,"b'FR'",0,133.96,3,-6.566,1,246,6,238,78,238,0.3949625000942707,43,0.0,0.0,0.310087326212534
44,"b'SOZCQBJ12A8C13E811'","b'Te Necesito'","b'Angelica Maria'",160.83546,0,174574,"b'Abrazame Fuerte'","b'ARP2TO91187B9913EA'",-90.07771,29.95369,"b'New Orleans LA'",0,81.649,4,-10.182,1,491,8,212,49,424,0.43788950307317964,10,0.0,nan,0.3099016828429698
45,"b'SORDRVY12AB0184281'","b'Put Down Your Weapons'","b'Yami Bolo'",219.402,2000,646698,"b'Live In Paris'","b'ARP06GY1187B98B0F0'",-83.04792,42.33168,"b'Detroit USA'",0,85.811,4,-9.07,1,796,11,315,77,629,0.4955022071031012,24,0.0,0.26050600681503105,0.3224825778758644
46,"b'SOUNGLM12AB0187A31'","b'Love Me'","b'Jars Of Clay'",191.81669,2006,574824,"b'Mini Monsters EP'","b'ARZ96PB1187B98F5C9'",-86.77836,36.16778,"b'Nashville TN'",2,128.018,3,-4.888,1,489,8,386,128,772,0.7490298749983422,21,0.0,0.34580223396532944,0.5755012051454431
47,"b'SOZLAER12A58A7CA05'","b'The Witching Hour'","b'John Mayall'",262.79138,2002,521596,"b'STORIES'","b'ARJ9DSA1187B990E00'",,,"b''",5,172.909,4,-5.549,0,1013,18,750,186,1499,0.6268031063273776,48,0.0,0.0,0.4052346907874076
48,"b'SOUSMDW12AB0181781'","b"L'Amour Existe Encore"","b'Lara Fabian'",229.72036,2009,557613,"b'Toutes Les Femmes En Moi'","b'AREMOC71187B996C2F'",,,"b''",6,106.01,4,-7.336,0,715,13,398,99,797,0.6317025616094519,44,0.0,0.3943948561005826,0.45821074150211255
49,"b'SOPPWBB12AB0190513'","b'Underarms'","b'Grandmaster Flash'",190.17098,1987,774160,"b'Ba-Dop-Boom-Bang'","b'ARMDBW21187FB37126'",-69.46854,16.85576,"b'Barbados West Indies'",7,117.535,4,-15.494,0,859,7,360,89,719,0.6279707530899492,47,0.0,0.26695518627553855,0.4558846785517218
50,"b'SORUEDG12A8C13CFEF'","b'Leather Prowler'","b'Liars'",265.09016,2007,117266,"b'Liars'","b'ARVZWQ31187B9B8946'",-118.24532,34.05349,"b'LA / NYC'",8,143.748,4,-10.578,0,721,12,639,159,639,0.7863591368360506,24,0.0,0.6085528213375102,0.42041261759961973
51,"b'SOVQYSA12A8C139616'","b"Heut' Nacht"","b'Spliff'",264.41098,1982,292085,"b'85555'","b'ARWF1KM1187B9908CA'",,,"b''",11,107.965,4,-18.576,0,1032,12,471,117,941,0.543971486595895,46,0.0,0.5753196880953235,0.3586856662337679
52,"b'SOZWCKB12AB0186C5B'","b'Diamond Eyes (Album Version)'","b'Deftones'",188.26404,2010,812391,"b'Diamond Eyes'","b'ARXSABJ1187FB3C336'",,,"b'Sacramento CA'",8,153.713,1,-4.365,1,414,8,470,470,939,0.8216973167394691,36,0.0,0.6275314670603107,0.6017297557100237
53,"b'SOERIII12AC468C196'","b'Una dolce melodia'","b'Franco_ Valeriana'",205.50485,0,688365,"b'Io e te per sempre'","b'ARPHH7Z1187B9B6A3A'",,,"b'Sona-Bata Zaire'",11,112.181,3,-7.462,1,690,12,376,125,751,0.6004865427010225,50,0.0,nan,0.45327023630649965
54,"b'SOQQWJM12AB01889D5'","b'Siempre'","b'Reptil'",220.3424,0,748904,"b'La Noche Del Reptil'","b'ARUZLOS1269FCD4EF1'",,,"b''",0,120.0,4,-7.009,1,992,9,435,108,870,0.460062797921414,9,0.0,nan,0.26702622085020095
55,"b'SOXEKMY12AC468ACF1'","b'Big Trouble Upstairs'","b'Pitch Black'",283.32363,0,598659,"b'Frequencies Fall'","b'ARPVRUC1187FB4F1DE'",,,"b'Oakland CA'",2,118.926,4,-12.195,1,1222,16,561,139,1122,0.585387198606353,40,0.0,nan,0.42951363980146334
56,"b'SOUVLMO12AB018CE39'","b'One Thing'","b'YZ'",267.59791,0,803589,"b'The Legend Of Floyd Jones'","b'ARATH401187B98A7DE'",,,"b''",9,89.995,4,-12.836,1,1111,11,397,98,795,0.5093637265084334,27,0.0,nan,0.29040349135623356
57,"b'SOYPMHZ12AF72A31BD'","b'Talk Of The Town'","b'Firehouse'",278.12526,1992,282908,"b'Hold Your Fire'","b'ARMH10M1187FB4184F'",,,"b'Wisconsin'",1,119.423,4,-7.352,1,898,13,554,137,1107,0.651039380171071,42,0.0,nan,0.4349760317895153
58,"b'SOJMXIM12A6D4FB4FC'","b'Sometimes'","b'Les Rythmes Digitales feat. Nik Kershaw'",297.45587,1999,59548,"b'Off The Wall - Ten Years of Wall of Sound'","b'AR3NPVS1187FB5108F'",2.34121,48.85692,"b'Paris France'",2,123.829,4,-4.249,1,1233,12,609,151,1217,0.5908165135922658,48,0.0,0.6999136033490833,0.3760663614521953
59,"b'SODUDOU12A8C139F69'","b'So Say I'","b'Mr Brown'",147.1473,0,161949,"b'Liar Liar'","b'ARQMTJR1187FB42BB5'",-89.87374,32.58507,"b'Mississippi Gulf Coast'",11,140.252,4,-6.024,1,390,6,331,82,662,0.5649794743257729,34,0.0,nan,0.0
60,"b'SOVRQHI12AB018A018'","b'Ser\xc3\xa1 cuando regreses'","b'Noem\xc3\xad'",178.23302,0,751041,"b'Tributo a Jos\xc3\xa9 Antonio M\xc3\xa9ndez'","b'ARNDFTA125FEF32B22'",,,"b''",0,88.304,4,-10.984,1,507,9,257,63,514,0.4993089666955358,26,0.0,nan,0.4429681887349921
61,"b'SOBXTMM12AB018E916'","b'The Story Of An Artist'","b'Daniel Johnston'",296.54159,1982,813767,"b'The Late Great Daniel Johnston: Discovered Covered'","b'AR6CLFP1187B9ACB94'",,,"b'Sacramento CA'",0,106.927,4,-12.162,1,989,19,526,127,1051,0.7133221465467205,11,0.0,nan,0.4736131893753991
62,"b'SOAJVDQ12A6D4FA38B'","b'Attic Room'","b'Casiotone For The Painfully Alone'",188.94322,2003,234413,"b'Twinkle Echo'","b'ARRJNTE1187FB44E12'",,,"b''",7,99.077,4,-7.549,1,580,7,312,77,624,0.6653221619060184,39,0.0,0.6392484891503506,0.3942171989010042
63,"b'SOKKDSX12AB018866A'","b"Electric Phase / Hot 'n' Ready / Pack It Up 'n' Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle"","b'UFO'",1819.76771,0,666530,"b'Parker\'s Birthday "Live in Texas'","b'AROATPL1187FB48E12'",-111.9307,34.16788,"b'Arizona'",2,134.531,4,-14.402,1,5606,63,4100,1024,8201,0.6811302418484678,44,0.0,nan,0.4533990832902461
64,"b'SOFXWLP12A58A7C7B8'","b'124 Stomp'","b'Azukx'",438.90893,0,508268,"b'Everything Is Everything'","b'ARY8UIR1187B999BFB'",,,"b''",5,123.003,4,-11.933,1,2175,13,894,223,1788,0.05922961656618904,24,0.0,nan,0.0
65,"b'SOYLDNP12A8C13C135'","b'A Movie Of A Placid Lake On A Moonless Night in September'","b'Will Ackerman'",384.60036,1992,296868,"b'The Opening Of Doors'","b'ARIFK6X1187B9ADA44'",10.45415,51.16418,"b'Germany'",1,92.331,4,-18.891,0,867,20,589,143,1178,0.5643338386201754,28,0.0,0.3347065490692206,0.3870810844539545
66,"b'SOQXAGF12A58A7BB46'","b'Denk'","b'Samy Deluxe'",237.19138,2004,109905,"b'Verdammtnochma!'","b'ARB0WNP1187B9AC4AB'",,,"b''",1,164.041,4,-5.129,0,1122,7,638,159,638,0.705491779875456,28,0.0,0.5216592580484611,0.39345711137576006
67,"b'SOQDVLK12AB018B3A1'","b'Many Weapons Many Men'","b'Criminal Class USA is Hush Hush Revolution'",174.18404,0,656234,"b'Criminal Class USA is Hush Hush Revolution'","b'ARMJTYS1257509DE8D'",,,"b''",3,146.93,4,-4.861,1,545,9,423,105,846,0.4333772719415792,2,0.0,0.0,0.0
68,"b'SOWYRWH12A8C13B9E8'","b'You Can Make It (Album Version)'","b'Douglas Miller'",247.09179,0,112172,"b'Living On The Top'","b'ARP0VU91187B9AE375'",,,"b''",0,105.958,4,-10.476,1,888,5,438,108,876,0.47590149185871555,23,0.0,nan,0.34410364569333896
69,"b'SOLKWBH12A6D4FCF6E'","b'Te Vas Angel Mio'","b'Michael Salgado'",212.63628,0,226735,"b'Un Recuerdo Especial'","b'AR51YM81187B9B536C'",,,"b''",7,154.164,1,-7.031,1,842,13,524,524,1048,0.6035759828151032,18,0.0,nan,0.31802461979507607
70,"b'SOLQAII12AB018312B'","b"Doodlin'"","b'Kai Winding'",212.92363,1961,495041,"b'The Incredible Kai Winding Trombones'","b'AR3C3C01187B98E800'",10.20452,56.153,"b'Aarhus Denmark'",5,112.222,1,-15.237,1,675,11,394,394,787,0.43053890741728074,22,0.0,0.3347065490692206,0.3163540008222974
71,"b'SOCTWCE12A8C135B80'","b"Wouldn't Last a Weeg"","b'The Weegs'",171.57179,0,249389,"b'Meat the Weegs'","b'ARBWFER11C8A42BA94'",-122.42005,37.77916,"b'California - SF'",11,87.735,1,-6.753,0,455,7,242,242,484,0.4675699664299343,7,0.0,0.0,0.0
72,"b'SOKRZJY12AB0187E80'","b'Human Being (1972 demo)'","b'New York Dolls'",354.01098,0,702585,"b'Manhattan Mayhem (a history of the Dolls)'","b'ARS1OWB1187B99EEAD'",,,"b'New York NY'",11,131.348,4,-12.507,1,1019,18,773,192,1546,0.717670524728552,41,0.0,0.0,0.4793084593382274
73,"b'SOZKSGN12A81C20649'","b'Hermitage'","b'Pat Metheny'",338.02404,1979,367592,"b'New Chautauqua'","b'AR1CD5Z1187B98F2C2'",-94.37517,38.91391,"b"Lee's Summit MO"",9,103.562,4,-26.862,0,567,17,567,140,1134,0.725974866335633,24,0.0,0.5694510346043139,0.46397951389833614
74,"b'SOATSTU12AF72A64DF'","b'Stampede'","b'He Is Legend'",207.12444,2006,45048,"b'Suck Out The Poison'","b'AR6CFZ71187B99AE5B'",-77.94599,34.23497,"b'Wilmington NC'",7,97.969,4,-6.808,1,811,7,338,83,1352,0.7448737192619159,43,0.0,nan,0.505012391946912
75,"b'SOBXSOO12CF5826708'","b'All Hands On Deck part 2: Open Water [Album Version]'","b'Funeral For A Friend'",228.64934,2007,105448,"b"Tales Don't Tell Themselves"","b'AROBHK51187B9AD82B'",,,"b'Wales'",1,90.098,4,-3.131,1,423,7,334,83,668,0.7788308999934069,18,0.0,nan,0.5934730853857536
76,"b'SOFHPMO12A6D4F5BC0'","b'I Will Call Upon the Lord'","b'Bill Murk'",109.322,0,76785,"b'Praise Keeper'","b'AR21JV01187B999138'",,,"b''",2,149.972,3,-8.244,1,414,5,255,84,510,0.1842501468246894,18,0.0,nan,0.0
77,"b'SORHXWL12A6D4FB86E'","b'R\xc3\xbclpsen Sie Eine Hauptstadt'","b'Tresenlesen'",513.61914,1995,758046,"b'G\xc3\xbcnther'","b'ARQB8PN1187B98E6C4'",,,"b''",9,111.756,1,-9.31,0,2142,27,971,971,1943,0.2984096783882951,8,0.0,0.0,0.2150212953240427
78,"b'SOGPIHB12A8C13EFB0'","b'The Magic Violin'","b'Hot Club Of Cowtown'",163.10812,2009,455699,"b'Wishful Thinking'","b'AROVJWM1187B98E649'",145.08084,-37.90019,"b'Hughesdale Victoria Australia'",11,148.077,1,-9.68,0,820,10,399,399,798,0.5514273069399679,31,0.0,0.37598430150044215,0.3898475265734618
79,"b'SOBMWCD12AB017E764'","b'Untitled'","b'Brainchoke'",53.81179,0,391315,"b'Introspective'","b'ARAI3SX1187B9A3A9A'",,,"b''",0,99.654,1,-13.481,0,96,3,76,76,152,0.4047560701585289,8,0.0,nan,0.2640271010604955
80,"b'SOTGMJA12AB0180F21'","b'Open Arms'","b'Gary Go'",217.86077,2009,556794,"b'Pacha Ibiza'","b'ARXVADV12086C1203C'",,,"b''",0,159.164,5,-4.182,1,812,10,581,115,581,0.6659641451789359,29,0.0,nan,0.4519576901472542
81,"b'SOYTBPL12AB018A8C5'","b'Stars (GROWTH Ultraviolence Mix)'","b'Ultraviolence'",271.12444,0,681735,"b'Blown Away'","b'ARDOOH01187B991055'",,,"b''",1,174.49,4,-3.264,1,1112,12,771,192,1542,0.4999392209886847,46,0.0,0.0,0.3744494304968199
82,"b'SOZZPMT12A8AE47FF3'","b'Chira'","b'Nikos Kalaintzis'",314.01751,0,182924,"b'The Greek Folk Instruments:Santouri'","b'ARDRQOR11F4C844DA4'",,,"b''",0,100.441,4,-14.744,1,1097,13,510,126,1021,0.20749124732341506,1,0.0,nan,0.0
83,"b'SOUXQLM12AC468E21E'","b'Tune In'","b'Cutting Edge'",358.71302,0,732399,"b'Alle Tre [2 Cd]'","b'ARSDFYB11F50C4F736'",-118.24532,34.05349,"b'California - LA'",4,83.066,3,-12.835,1,1075,14,492,152,1476,0.44577274776003034,22,0.0,nan,0.3464199468255268
84,"b'SOWBDLD12A58A80B1A'","b'One Love'","b'David Rose & His Orchestra'",179.98322,2004,577075,"b'In A Mellow Mood'","b'ARSRCI71187FB59188'",,,"b''",10,84.688,4,-16.877,1,431,9,248,61,496,0.3693542524514358,14,0.0,0.0,0.30502458224869444
85,"b'SOLGLIH12A8C13E35E'","b'Singing  Bowls_Saxophone & Voice'","b'Jane Winther'",329.42975,0,218110,"b'Bardo'","b'ARGAWJY11F50C50904'",,,"b''",2,76.009,3,-21.207,0,558,15,396,126,793,0.3173913800886155,1,0.0,nan,0.3452847729883983
